system,target,forecast_origin,quarter,component,contribution
System A,cpi_yoy,2025Q4,1996Q4,commodity_growth,0.0578212279549621
System A,cpi_yoy,2025Q4,1996Q4,unemployment_rate,-0.43364557367886325
System A,cpi_yoy,2025Q4,1996Q4,cpi_yoy,-0.28562846885271465
System A,cpi_yoy,2025Q4,1996Q4,inflation_expectations_business,-0.1941776679757727
System A,cpi_yoy,2025Q4,1996Q4,cash_rate,0.1485341426152486
System A,cpi_yoy,2025Q4,1997Q1,baseline,2.09063020938983
System A,cpi_yoy,2025Q4,1997Q1,commodity_growth,0.16623267012529006
System A,cpi_yoy,2025Q4,1997Q1,unemployment_rate,-0.5560464461896504
System A,cpi_yoy,2025Q4,1997Q1,cpi_yoy,-0.3787819016109387
System A,cpi_yoy,2025Q4,1997Q1,inflation_expectations_business,-0.06845569280945585
System A,cpi_yoy,2025Q4,1997Q1,cash_rate,-0.053578838905078335
System A,cpi_yoy,2025Q4,1997Q2,baseline,1.86141230920639
System A,cpi_yoy,2025Q4,1997Q2,commodity_growth,0.19909773372475414
System A,cpi_yoy,2025Q4,1997Q2,unemployment_rate,-0.5907682817411793
System A,cpi_yoy,2025Q4,1997Q2,cpi_yoy,-1.1307048296407878
System A,cpi_yoy,2025Q4,1997Q2,inflation_expectations_business,0.2523029561606628
System A,cpi_yoy,2025Q4,1997Q2,cash_rate,-0.2913398877098445
System A,cpi_yoy,2025Q4,1997Q3,baseline,1.7036353055460518
System A,cpi_yoy,2025Q4,1997Q3,commodity_growth,0.27131854813834266
System A,cpi_yoy,2025Q4,1997Q3,unemployment_rate,-0.6462227331403769
System A,cpi_yoy,2025Q4,1997Q3,cpi_yoy,-1.8256603716333988
System A,cpi_yoy,2025Q4,1997Q3,inflation_expectations_business,0.593864009240562
System A,cpi_yoy,2025Q4,1997Q3,cash_rate,-0.39693475815118506
System A,cpi_yoy,2025Q4,1997Q4,baseline,1.6010974347585822
System A,cpi_yoy,2025Q4,1997Q4,commodity_growth,0.31142782018416576
System A,cpi_yoy,2025Q4,1997Q4,unemployment_rate,-0.4277568795853147
System A,cpi_yoy,2025Q4,1997Q4,cpi_yoy,-1.9627961824861877
System A,cpi_yoy,2025Q4,1997Q4,inflation_expectations_business,0.7845612625964193
System A,cpi_yoy,2025Q4,1997Q4,cash_rate,-0.6065334554676687
System A,cpi_yoy,2025Q4,1998Q1,baseline,1.54227555974429
System A,cpi_yoy,2025Q4,1998Q1,commodity_growth,0.10987552993754694
System A,cpi_yoy,2025Q4,1998Q1,unemployment_rate,-0.4823662835903074
System A,cpi_yoy,2025Q4,1998Q1,cpi_yoy,-1.8593414005009685
System A,cpi_yoy,2025Q4,1998Q1,inflation_expectations_business,0.8771883363077427
System A,cpi_yoy,2025Q4,1998Q1,cash_rate,-0.28763174189830903
System A,cpi_yoy,2025Q4,1998Q2,baseline,1.5175766863988693
System A,cpi_yoy,2025Q4,1998Q2,commodity_growth,0.04928525412884457
System A,cpi_yoy,2025Q4,1998Q2,unemployment_rate,-0.5755458658936402
System A,cpi_yoy,2025Q4,1998Q2,cpi_yoy,-1.3216886435433468
System A,cpi_yoy,2025Q4,1998Q2,inflation_expectations_business,1.1484886210164806
System A,cpi_yoy,2025Q4,1998Q2,cash_rate,-0.11811605210721136
System A,cpi_yoy,2025Q4,1998Q3,baseline,1.5200226451346808
System A,cpi_yoy,2025Q4,1998Q3,commodity_growth,-0.19031163320391367
System A,cpi_yoy,2025Q4,1998Q3,unemployment_rate,-0.7239300456312777
System A,cpi_yoy,2025Q4,1998Q3,cpi_yoy,-0.5438778922649594
System A,cpi_yoy,2025Q4,1998Q3,inflation_expectations_business,1.1991735447202296
System A,cpi_yoy,2025Q4,1998Q3,cash_rate,0.03892338124523785
System A,cpi_yoy,2025Q4,1998Q4,baseline,1.5437309240784094
System A,cpi_yoy,2025Q4,1998Q4,commodity_growth,-0.37836740660932644
System A,cpi_yoy,2025Q4,1998Q4,unemployment_rate,-0.5652888235037031
System A,cpi_yoy,2025Q4,1998Q4,cpi_yoy,-0.34131695108670534
System A,cpi_yoy,2025Q4,1998Q4,inflation_expectations_business,1.0788779258419978
System A,cpi_yoy,2025Q4,1998Q4,cash_rate,0.16236433127932576
System A,cpi_yoy,2025Q4,1999Q1,baseline,1.583958529754157
System A,cpi_yoy,2025Q4,1999Q1,commodity_growth,-0.43389932173491896
System A,cpi_yoy,2025Q4,1999Q1,unemployment_rate,-0.43351802317193244
System A,cpi_yoy,2025Q4,1999Q1,cpi_yoy,-0.31496769515619516
System A,cpi_yoy,2025Q4,1999Q1,inflation_expectations_business,0.7200274290647305
System A,cpi_yoy,2025Q4,1999Q1,cash_rate,0.07839908124415723
System A,cpi_yoy,2025Q4,1999Q2,baseline,1.636553347005922
System A,cpi_yoy,2025Q4,1999Q2,commodity_growth,-0.5219925968046764
System A,cpi_yoy,2025Q4,1999Q2,unemployment_rate,-0.2206263566231622
System A,cpi_yoy,2025Q4,1999Q2,cpi_yoy,-0.11127732695141385
System A,cpi_yoy,2025Q4,1999Q2,inflation_expectations_business,0.25517619239754785
System A,cpi_yoy,2025Q4,1999Q2,cash_rate,-0.03783325902421787
System A,cpi_yoy,2025Q4,1999Q3,baseline,1.6980142082503793
System A,cpi_yoy,2025Q4,1999Q3,commodity_growth,-0.32016427264480646
System A,cpi_yoy,2025Q4,1999Q3,unemployment_rate,-0.14056512396684984
System A,cpi_yoy,2025Q4,1999Q3,cpi_yoy,0.5218041813175415
System A,cpi_yoy,2025Q4,1999Q3,inflation_expectations_business,-0.10519480430925514
System A,cpi_yoy,2025Q4,1999Q3,cash_rate,-0.053894188647006985
System A,cpi_yoy,2025Q4,1999Q4,baseline,1.7653355571350007
System A,cpi_yoy,2025Q4,1999Q4,commodity_growth,-0.20436748077310987
System A,cpi_yoy,2025Q4,1999Q4,unemployment_rate,0.09854785135241195
System A,cpi_yoy,2025Q4,1999Q4,cpi_yoy,0.4919251421300343
System A,cpi_yoy,2025Q4,1999Q4,inflation_expectations_business,-0.31962441928468477
System A,cpi_yoy,2025Q4,1999Q4,cash_rate,-0.03181665055964979
System A,cpi_yoy,2025Q4,2000Q1,baseline,1.8360374399412223
System A,cpi_yoy,2025Q4,2000Q1,commodity_growth,-0.02159577751060881
System A,cpi_yoy,2025Q4,2000Q1,unemployment_rate,0.02553735778950556
System A,cpi_yoy,2025Q4,2000Q1,cpi_yoy,1.3177215626343024
System A,cpi_yoy,2025Q4,2000Q1,inflation_expectations_business,-0.45579092238955576
System A,cpi_yoy,2025Q4,2000Q1,cash_rate,0.0980903395351374
System A,cpi_yoy,2025Q4,2000Q2,baseline,1.908092871412289
System A,cpi_yoy,2025Q4,2000Q2,commodity_growth,0.07851444785667101
System A,cpi_yoy,2025Q4,2000Q2,unemployment_rate,0.13911849744322005
System A,cpi_yoy,2025Q4,2000Q2,cpi_yoy,0.8782962607104144
System A,cpi_yoy,2025Q4,2000Q2,inflation_expectations_business,-0.3191840364475913
System A,cpi_yoy,2025Q4,2000Q2,cash_rate,0.4151619590249999
System A,cpi_yoy,2025Q4,2000Q3,baseline,1.97990403143739
System A,cpi_yoy,2025Q4,2000Q3,commodity_growth,0.01930841735046323
System A,cpi_yoy,2025Q4,2000Q3,unemployment_rate,0.07550990870375006
System A,cpi_yoy,2025Q4,2000Q3,cpi_yoy,2.970398737298037
System A,cpi_yoy,2025Q4,2000Q3,inflation_expectations_business,0.4765884768800486
System A,cpi_yoy,2025Q4,2000Q3,cash_rate,0.5782904283303149
System A,cpi_yoy,2025Q4,2000Q4,baseline,2.050236478673825
System A,cpi_yoy,2025Q4,2000Q4,commodity_growth,0.010228527247301285
System A,cpi_yoy,2025Q4,2000Q4,unemployment_rate,-0.025086300251098773
System A,cpi_yoy,2025Q4,2000Q4,cpi_yoy,2.689967619238146
System A,cpi_yoy,2025Q4,2000Q4,inflation_expectations_business,0.6001392810874088
System A,cpi_yoy,2025Q4,2000Q4,cash_rate,0.4745143940044211
System A,cpi_yoy,2025Q4,2001Q1,baseline,2.1181718387860364
System A,cpi_yoy,2025Q4,2001Q1,commodity_growth,-0.08853025198738106
System A,cpi_yoy,2025Q4,2001Q1,unemployment_rate,-0.1299589663638764
System A,cpi_yoy,2025Q4,2001Q1,cpi_yoy,3.1331946705863603
System A,cpi_yoy,2025Q4,2001Q1,inflation_expectations_business,0.5893322200854686
System A,cpi_yoy,2025Q4,2001Q1,cash_rate,0.37779048889339434
System A,cpi_yoy,2025Q4,2001Q2,baseline,2.1830506012294473
System A,cpi_yoy,2025Q4,2001Q2,commodity_growth,0.11851399795807233
System A,cpi_yoy,2025Q4,2001Q2,unemployment_rate,-0.3461368362463561
System A,cpi_yoy,2025Q4,2001Q2,cpi_yoy,3.899993531920343
System A,cpi_yoy,2025Q4,2001Q2,inflation_expectations_business,0.23994048792771763
System A,cpi_yoy,2025Q4,2001Q2,cash_rate,0.004638217210777333
System A,cpi_yoy,2025Q4,2001Q3,baseline,2.2444272688335185
System A,cpi_yoy,2025Q4,2001Q3,commodity_growth,0.19007415971112948
System A,cpi_yoy,2025Q4,2001Q3,unemployment_rate,-0.2120161613347731
System A,cpi_yoy,2025Q4,2001Q3,cpi_yoy,0.6956565203193763
System A,cpi_yoy,2025Q4,2001Q3,inflation_expectations_business,0.08453582334797691
System A,cpi_yoy,2025Q4,2001Q3,cash_rate,-0.5026776108772232
System A,cpi_yoy,2025Q4,2001Q4,baseline,2.302027436463392
System A,cpi_yoy,2025Q4,2001Q4,commodity_growth,0.325227136846076
System A,cpi_yoy,2025Q4,2001Q4,unemployment_rate,-0.27637027085546284
System A,cpi_yoy,2025Q4,2001Q4,cpi_yoy,1.112610037534292
System A,cpi_yoy,2025Q4,2001Q4,inflation_expectations_business,0.016625874414851957
System A,cpi_yoy,2025Q4,2001Q4,cash_rate,-0.38012021440314325
System A,cpi_yoy,2025Q4,2002Q1,baseline,2.355713658995485
System A,cpi_yoy,2025Q4,2002Q1,commodity_growth,0.29347904803375174
System A,cpi_yoy,2025Q4,2002Q1,unemployment_rate,0.09492673222712832
System A,cpi_yoy,2025Q4,2002Q1,cpi_yoy,0.8283653943034794
System A,cpi_yoy,2025Q4,2002Q1,inflation_expectations_business,-0.20127750245240456
System A,cpi_yoy,2025Q4,2002Q1,cash_rate,-0.37120733110743526
System A,cpi_yoy,2025Q4,2002Q2,baseline,2.405455470343477
System A,cpi_yoy,2025Q4,2002Q2,commodity_growth,0.006187077077230231
System A,cpi_yoy,2025Q4,2002Q2,unemployment_rate,0.3665858291566377
System A,cpi_yoy,2025Q4,2002Q2,cpi_yoy,0.6477823186129446
System A,cpi_yoy,2025Q4,2002Q2,inflation_expectations_business,-0.37139459889397275
System A,cpi_yoy,2025Q4,2002Q2,cash_rate,-0.25461609629631143
System A,cpi_yoy,2025Q4,2002Q3,baseline,2.4513051971498085
System A,cpi_yoy,2025Q4,2002Q3,commodity_growth,-0.08200415836259825
System A,cpi_yoy,2025Q4,2002Q3,unemployment_rate,0.4947351838654933
System A,cpi_yoy,2025Q4,2002Q3,cpi_yoy,0.763363960799928
System A,cpi_yoy,2025Q4,2002Q3,inflation_expectations_business,-0.3546052392601892
System A,cpi_yoy,2025Q4,2002Q3,cash_rate,0.027205055807560687
System A,cpi_yoy,2025Q4,2002Q4,baseline,2.4933773927717358
System A,cpi_yoy,2025Q4,2002Q4,commodity_growth,-0.2721117005018209
System A,cpi_yoy,2025Q4,2002Q4,unemployment_rate,0.6461020335400698
System A,cpi_yoy,2025Q4,2002Q4,cpi_yoy,0.33330917412978744
System A,cpi_yoy,2025Q4,2002Q4,inflation_expectations_business,-0.33087869546181714
System A,cpi_yoy,2025Q4,2002Q4,cash_rate,0.23020179552204711
System A,cpi_yoy,2025Q4,2003Q1,baseline,2.5318321017015437
System A,cpi_yoy,2025Q4,2003Q1,commodity_growth,-0.3282291225306283
System A,cpi_yoy,2025Q4,2003Q1,unemployment_rate,0.7363964009420284
System A,cpi_yoy,2025Q4,2003Q1,cpi_yoy,0.6952103295302199
System A,cpi_yoy,2025Q4,2003Q1,inflation_expectations_business,-0.46872983036416893
System A,cpi_yoy,2025Q4,2003Q1,cash_rate,0.23352012072100733
System A,cpi_yoy,2025Q4,2003Q2,baseline,2.5668609294740925
System A,cpi_yoy,2025Q4,2003Q2,commodity_growth,-0.5238275083749842
System A,cpi_yoy,2025Q4,2003Q2,unemployment_rate,0.686526398231887
System A,cpi_yoy,2025Q4,2003Q2,cpi_yoy,0.18365215304561533
System A,cpi_yoy,2025Q4,2003Q2,inflation_expectations_business,-0.5108776799410257
System A,cpi_yoy,2025Q4,2003Q2,cash_rate,0.19766570756441731
System A,cpi_yoy,2025Q4,2003Q3,baseline,2.598675788424184
System A,cpi_yoy,2025Q4,2003Q3,commodity_growth,-0.3909104701666833
System A,cpi_yoy,2025Q4,2003Q3,unemployment_rate,0.7297207545268494
System A,cpi_yoy,2025Q4,2003Q3,cpi_yoy,0.04754945266440912
System A,cpi_yoy,2025Q4,2003Q3,inflation_expectations_business,-0.5662944705324504
System A,cpi_yoy,2025Q4,2003Q3,cash_rate,0.08125894508369386
System A,cpi_yoy,2025Q4,2003Q4,baseline,2.6274997814420757
System A,cpi_yoy,2025Q4,2003Q4,commodity_growth,-0.4505285007293614
System A,cpi_yoy,2025Q4,2003Q4,unemployment_rate,0.7998839584311483
System A,cpi_yoy,2025Q4,2003Q4,cpi_yoy,0.03928785896776993
System A,cpi_yoy,2025Q4,2003Q4,inflation_expectations_business,-0.6261235484672806
System A,cpi_yoy,2025Q4,2003Q4,cash_rate,0.009980450355650167
System A,cpi_yoy,2025Q4,2004Q1,baseline,2.6535600141745
System A,cpi_yoy,2025Q4,2004Q1,commodity_growth,-0.2560456485136269
System A,cpi_yoy,2025Q4,2004Q1,unemployment_rate,0.8342341055173289
System A,cpi_yoy,2025Q4,2004Q1,cpi_yoy,-0.6733169652390533
System A,cpi_yoy,2025Q4,2004Q1,inflation_expectations_business,-0.75613508438857
System A,cpi_yoy,2025Q4,2004Q1,cash_rate,0.09770357844942174
System A,cpi_yoy,2025Q4,2004Q2,baseline,2.677081993127296
System A,cpi_yoy,2025Q4,2004Q2,commodity_growth,0.0687360360585773
System A,cpi_yoy,2025Q4,2004Q2,unemployment_rate,0.7985912103672643
System A,cpi_yoy,2025Q4,2004Q2,cpi_yoy,-0.40087920488696016
System A,cpi_yoy,2025Q4,2004Q2,inflation_expectations_business,-0.9120599031858038
System A,cpi_yoy,2025Q4,2004Q2,cash_rate,0.2685298685196272
System A,cpi_yoy,2025Q4,2004Q3,baseline,2.6982853948268275
System A,cpi_yoy,2025Q4,2004Q3,commodity_growth,0.09377645586895687
System A,cpi_yoy,2025Q4,2004Q3,unemployment_rate,0.6418434921867001
System A,cpi_yoy,2025Q4,2004Q3,cpi_yoy,-0.6331424285424865
System A,cpi_yoy,2025Q4,2004Q3,inflation_expectations_business,-0.7938744984265587
System A,cpi_yoy,2025Q4,2004Q3,cash_rate,0.29311158408656013
System A,cpi_yoy,2025Q4,2004Q4,baseline,2.7173809588803812
System A,cpi_yoy,2025Q4,2004Q4,commodity_growth,0.12390255982147783
System A,cpi_yoy,2025Q4,2004Q4,unemployment_rate,0.7651532520650067
System A,cpi_yoy,2025Q4,2004Q4,cpi_yoy,-0.7738021774497674
System A,cpi_yoy,2025Q4,2004Q4,inflation_expectations_business,-0.5148668866257631
System A,cpi_yoy,2025Q4,2004Q4,cash_rate,0.28223229330866567
System A,cpi_yoy,2025Q4,2005Q1,baseline,2.7345683184736678
System A,cpi_yoy,2025Q4,2005Q1,commodity_growth,0.008460547197409712
System A,cpi_yoy,2025Q4,2005Q1,unemployment_rate,0.6246419738620975
System A,cpi_yoy,2025Q4,2005Q1,cpi_yoy,-0.7883952787937648
System A,cpi_yoy,2025Q4,2005Q1,inflation_expectations_business,-0.4190789859475754
System A,cpi_yoy,2025Q4,2005Q1,cash_rate,0.23980342520816747
System A,cpi_yoy,2025Q4,2005Q2,baseline,2.750034586272033
System A,cpi_yoy,2025Q4,2005Q2,commodity_growth,0.15482431984470463
System A,cpi_yoy,2025Q4,2005Q2,unemployment_rate,0.519922517902855
System A,cpi_yoy,2025Q4,2005Q2,cpi_yoy,-0.8860952901822712
System A,cpi_yoy,2025Q4,2005Q2,inflation_expectations_business,-0.2979492404329151
System A,cpi_yoy,2025Q4,2005Q2,cash_rate,0.2592631065955943
System A,cpi_yoy,2025Q4,2005Q3,baseline,2.7639535498725007
System A,cpi_yoy,2025Q4,2005Q3,commodity_growth,0.14249706026002262
System A,cpi_yoy,2025Q4,2005Q3,unemployment_rate,0.4744466981798942
System A,cpi_yoy,2025Q4,2005Q3,cpi_yoy,-0.4955260484755373
System A,cpi_yoy,2025Q4,2005Q3,inflation_expectations_business,-0.15048598570663546
System A,cpi_yoy,2025Q4,2005Q3,cash_rate,0.3651147258697558
System A,cpi_yoy,2025Q4,2005Q4,baseline,2.776485345820316
System A,cpi_yoy,2025Q4,2005Q4,commodity_growth,0.27783645926982464
System A,cpi_yoy,2025Q4,2005Q4,unemployment_rate,0.34320314393888157
System A,cpi_yoy,2025Q4,2005Q4,cpi_yoy,-0.8462289124277554
System A,cpi_yoy,2025Q4,2005Q4,inflation_expectations_business,-0.2205186655799952
System A,cpi_yoy,2025Q4,2005Q4,cash_rate,0.36922262897873026
System A,cpi_yoy,2025Q4,2006Q1,baseline,2.7877765055457524
System A,cpi_yoy,2025Q4,2006Q1,commodity_growth,0.27858041960954627
System A,cpi_yoy,2025Q4,2006Q1,unemployment_rate,0.22099448479351488
System A,cpi_yoy,2025Q4,2006Q1,cpi_yoy,-0.4551273185400953
System A,cpi_yoy,2025Q4,2006Q1,inflation_expectations_business,-0.2752754228977143
System A,cpi_yoy,2025Q4,2006Q1,cash_rate,0.44305133148899734
System A,cpi_yoy,2025Q4,2006Q2,baseline,2.7979602817835585
System A,cpi_yoy,2025Q4,2006Q2,commodity_growth,0.22915647643711046
System A,cpi_yoy,2025Q4,2006Q2,unemployment_rate,0.2641987170482413
System A,cpi_yoy,2025Q4,2006Q2,cpi_yoy,0.47788010444904727
System A,cpi_yoy,2025Q4,2006Q2,inflation_expectations_business,-0.23253040936768143
System A,cpi_yoy,2025Q4,2006Q2,cash_rate,0.4633348296497259
System A,cpi_yoy,2025Q4,2006Q3,baseline,2.807157181105587
System A,cpi_yoy,2025Q4,2006Q3,commodity_growth,0.05654882286797263
System A,cpi_yoy,2025Q4,2006Q3,unemployment_rate,0.2933168551906037
System A,cpi_yoy,2025Q4,2006Q3,cpi_yoy,0.20745455912160496
System A,cpi_yoy,2025Q4,2006Q3,inflation_expectations_business,0.03777902394859035
System A,cpi_yoy,2025Q4,2006Q3,cash_rate,0.3977435577656427
System A,cpi_yoy,2025Q4,2006Q4,baseline,2.815475640771338
System A,cpi_yoy,2025Q4,2006Q4,commodity_growth,-0.09922753841114314
System A,cpi_yoy,2025Q4,2006Q4,unemployment_rate,0.4561796833941989
System A,cpi_yoy,2025Q4,2006Q4,cpi_yoy,-0.304332318491062
System A,cpi_yoy,2025Q4,2006Q4,inflation_expectations_business,0.1181582598888697
System A,cpi_yoy,2025Q4,2006Q4,cash_rate,0.3137462728477998
System A,cpi_yoy,2025Q4,2007Q1,baseline,2.823012800227357
System A,cpi_yoy,2025Q4,2007Q1,commodity_growth,-0.27379581722497887
System A,cpi_yoy,2025Q4,2007Q1,unemployment_rate,0.4713102991698604
System A,cpi_yoy,2025Q4,2007Q1,cpi_yoy,-0.907423617126506
System A,cpi_yoy,2025Q4,2007Q1,inflation_expectations_business,0.11446294261134457
System A,cpi_yoy,2025Q4,2007Q1,cash_rate,0.27243339234292374
System A,cpi_yoy,2025Q4,2007Q2,baseline,2.829855327178869
System A,cpi_yoy,2025Q4,2007Q2,commodity_growth,-0.3094451049142576
System A,cpi_yoy,2025Q4,2007Q2,unemployment_rate,0.6999577171737839
System A,cpi_yoy,2025Q4,2007Q2,cpi_yoy,-1.375381905018308
System A,cpi_yoy,2025Q4,2007Q2,inflation_expectations_business,0.13108033515289264
System A,cpi_yoy,2025Q4,2007Q2,cash_rate,0.12393363042702062
System A,cpi_yoy,2025Q4,2007Q3,baseline,2.836080266763249
System A,cpi_yoy,2025Q4,2007Q3,commodity_growth,-0.30640378937299934
System A,cpi_yoy,2025Q4,2007Q3,unemployment_rate,0.71251342221254
System A,cpi_yoy,2025Q4,2007Q3,cpi_yoy,-1.6042570644457868
System A,cpi_yoy,2025Q4,2007Q3,inflation_expectations_business,0.2892258735830415
System A,cpi_yoy,2025Q4,2007Q3,cash_rate,-0.12715870874004528
System A,cpi_yoy,2025Q4,2007Q4,baseline,2.841755889346048
System A,cpi_yoy,2025Q4,2007Q4,commodity_growth,-0.20252504519091075
System A,cpi_yoy,2025Q4,2007Q4,unemployment_rate,0.5834751221515673
System A,cpi_yoy,2025Q4,2007Q4,cpi_yoy,-0.43722056128976705
System A,cpi_yoy,2025Q4,2007Q4,inflation_expectations_business,0.4634630549510307
System A,cpi_yoy,2025Q4,2007Q4,cash_rate,-0.2489484599679692
System A,cpi_yoy,2025Q4,2008Q1,baseline,2.8469425184720873
System A,cpi_yoy,2025Q4,2008Q1,commodity_growth,-0.0933642305499339
System A,cpi_yoy,2025Q4,2008Q1,unemployment_rate,0.650559738742043
System A,cpi_yoy,2025Q4,2008Q1,cpi_yoy,0.48833404400042024
System A,cpi_yoy,2025Q4,2008Q1,inflation_expectations_business,0.7269613297148504
System A,cpi_yoy,2025Q4,2008Q1,cash_rate,-0.3194334003794675
System A,cpi_yoy,2025Q4,2008Q2,baseline,2.8516933253976045
System A,cpi_yoy,2025Q4,2008Q2,commodity_growth,0.2113379985935592
System A,cpi_yoy,2025Q4,2008Q2,unemployment_rate,0.36065840759335527
System A,cpi_yoy,2025Q4,2008Q2,cpi_yoy,0.5218932870455679
System A,cpi_yoy,2025Q4,2008Q2,inflation_expectations_business,0.8779047465274444
System A,cpi_yoy,2025Q4,2008Q2,cash_rate,-0.4234877651575303
System A,cpi_yoy,2025Q4,2008Q3,baseline,2.8560550807032166
System A,cpi_yoy,2025Q4,2008Q3,commodity_growth,0.5738593670532772
System A,cpi_yoy,2025Q4,2008Q3,unemployment_rate,0.22176407695159342
System A,cpi_yoy,2025Q4,2008Q3,cpi_yoy,0.5033433705897191
System A,cpi_yoy,2025Q4,2008Q3,inflation_expectations_business,1.3142934428855284
System A,cpi_yoy,2025Q4,2008Q3,cash_rate,-0.4693153381833304
System A,cpi_yoy,2025Q4,2008Q4,baseline,2.8600688567611647
System A,cpi_yoy,2025Q4,2008Q4,commodity_growth,0.9114248156300796
System A,cpi_yoy,2025Q4,2008Q4,unemployment_rate,0.0024253124683409847
System A,cpi_yoy,2025Q4,2008Q4,cpi_yoy,-0.8136976000634056
System A,cpi_yoy,2025Q4,2008Q4,inflation_expectations_business,1.3043607999120281
System A,cpi_yoy,2025Q4,2008Q4,cash_rate,-0.5645821847082025
System A,cpi_yoy,2025Q4,2009Q1,baseline,2.863770677470943
System A,cpi_yoy,2025Q4,2009Q1,commodity_growth,0.7781445949412588
System A,cpi_yoy,2025Q4,2009Q1,unemployment_rate,-0.35149058475592965
System A,cpi_yoy,2025Q4,2009Q1,cpi_yoy,-0.2329292369901865
System A,cpi_yoy,2025Q4,2009Q1,inflation_expectations_business,0.902605277375227
System A,cpi_yoy,2025Q4,2009Q1,cash_rate,-1.6601007280413114
System A,cpi_yoy,2025Q4,2009Q2,baseline,2.8671921137475236
System A,cpi_yoy,2025Q4,2009Q2,commodity_growth,0.38089001849033166
System A,cpi_yoy,2025Q4,2009Q2,unemployment_rate,-0.3587121743387804
System A,cpi_yoy,2025Q4,2009Q2,cpi_yoy,0.39747461944748097
System A,cpi_yoy,2025Q4,2009Q2,inflation_expectations_business,0.25244463327380817
System A,cpi_yoy,2025Q4,2009Q2,cash_rate,-2.0392892106203604
System A,cpi_yoy,2025Q4,2009Q3,baseline,2.870360824853673
System A,cpi_yoy,2025Q4,2009Q3,commodity_growth,0.05155419485293569
System A,cpi_yoy,2025Q4,2009Q3,unemployment_rate,-0.35368734161370374
System A,cpi_yoy,2025Q4,2009Q3,cpi_yoy,0.515609313958637
System A,cpi_yoy,2025Q4,2009Q3,inflation_expectations_business,0.05638952383014139
System A,cpi_yoy,2025Q4,2009Q3,cash_rate,-1.9402265158816843
System A,cpi_yoy,2025Q4,2009Q4,baseline,2.8733010468772697
System A,cpi_yoy,2025Q4,2009Q4,commodity_growth,-0.3109322682024104
System A,cpi_yoy,2025Q4,2009Q4,unemployment_rate,-0.26474606684478835
System A,cpi_yoy,2025Q4,2009Q4,cpi_yoy,1.4055267506958613
System A,cpi_yoy,2025Q4,2009Q4,inflation_expectations_business,0.07245956077902134
System A,cpi_yoy,2025Q4,2009Q4,cash_rate,-1.6756090233049554
System A,cpi_yoy,2025Q4,2010Q1,baseline,2.8760340305409033
System A,cpi_yoy,2025Q4,2010Q1,commodity_growth,-0.2227818073959414
System A,cpi_yoy,2025Q4,2010Q1,unemployment_rate,-0.12218472117269273
System A,cpi_yoy,2025Q4,2010Q1,cpi_yoy,1.46919659572265
System A,cpi_yoy,2025Q4,2010Q1,inflation_expectations_business,-0.027293453806313938
System A,cpi_yoy,2025Q4,2010Q1,cash_rate,-1.0729706438886057
System A,cpi_yoy,2025Q4,2010Q2,baseline,2.8785784311490414
System A,cpi_yoy,2025Q4,2010Q2,commodity_growth,0.2181688414714481
System A,cpi_yoy,2025Q4,2010Q2,unemployment_rate,-0.09410087792962446
System A,cpi_yoy,2025Q4,2010Q2,cpi_yoy,0.8527283580431821
System A,cpi_yoy,2025Q4,2010Q2,inflation_expectations_business,-0.23571822023988664
System A,cpi_yoy,2025Q4,2010Q2,cash_rate,-0.6196565324941621
