quarter,credit_quality_ratio_percent,source_measure,measurement_basis,measurement_note,source_sheet
2012Q4,1.0999999999999999,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2013Q1,1.0999999999999999,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2013Q2,1.0999999999999999,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2013Q3,1.0,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2013Q4,0.8999999999999999,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2014Q1,0.8,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2014Q2,0.8,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2014Q3,0.7000000000000001,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2014Q4,0.6,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2015Q1,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2015Q2,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2015Q3,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2015Q4,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2016Q1,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2016Q2,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2016Q3,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2016Q4,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2017Q1,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2017Q2,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2017Q3,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2017Q4,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2018Q1,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2018Q2,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2018Q3,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2018Q4,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2019Q1,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2019Q2,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2019Q3,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2019Q4,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2020Q1,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2020Q2,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2020Q3,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2020Q4,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2021Q1,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2021Q2,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2021Q3,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2021Q4,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2022Q1,0.8999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2022Q2,0.8999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2022Q3,0.8,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2022Q4,0.8,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2023Q1,0.8,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2023Q2,0.8999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2023Q3,0.8999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2023Q4,1.0,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2024Q1,1.0,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2024Q2,1.0999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2024Q3,1.0999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2024Q4,1.0999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2025Q1,1.2,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2025Q2,1.2,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2025Q3,1.2,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
2025Q4,1.0999999999999999,Non-performing to loans and advances,non-performing exposures to loans and advances,APRA non-performing measure used from the March 2022 APS 220 publication update; compare with earlier impaired-facilities values with care.,Tab 1g
